nom; odeur; sucre; acide;amer;astringence;suffocante;piquante;alcool;parfum;fruitee
"cidre 1"; 2.14; 1.86; 3.29; 2.29; 2; 0.14; 2.29; 1.86;1.29;1.29
"cidre 2"; 2.43; 0.79;2.71;2.57;2;0.43;2.57;2.86;0.43;0.14
"cidre 3"; 2.71;3.14;2.57;2.57;1.43;0.14;2.14;0.86;2.29;1.71
"cidre 4"; 3;3.71;2.14;2.07;1.57;0;1.29;1;3.14;3.14
"cidre 5"; 3.43;1.29;2.86;3.14;2.17;1;1.86;2.86;1.14;0.29
"cidre 6"; 3.14;0.86;2.86;3.79;2.57;0.14;1.71;3.29;0.14;0
"cidre 7"; 3.14;1.14;2.86;2.86;2;0.43;1.71;1.86;0.14;0
"cidre 8"; 2.43;3.71;3.21;1.57;1.71;0;1;0.57;2.57;2.86
"cidre 9"; 5.1;2.86;2.86;3.07;1.79;1.71;0.43;1.43;0.57;2.71
"cidre 10";3.07;3.14;2.57;3;2;0;0.43;1.29;2.57;3.07
